teixit,volta,tipus,context,p,surprisal_bits,context_seen,is_zero_prob_raw
CM_Gardenia,197,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,199,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,201,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,203,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,205,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,207,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,209,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,211,V2,V0,0.01151316,6.4406,1,0
CM_Gardenia,213,V0,V2,0.12068966,3.0506,1,0
CM_Gardenia,215,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,217,V0,V0,0.63651316,0.6517,1,0
CM_Gardenia,219,V1,V0,0.34046053,1.5544,1,0
CM_Gardenia,221,V0,V1,0.31155015,1.6825,1,0
